Date,Q_shigu,Qz,Pz,Tz,Ez,Sz,Pi,Ti,Ei,Si
2006-01-01,380.84145038243776,299.5350646681187,0.005966497280810849,3.5477976083181053,-0.001431790822917132,0.20330958343408478,0.0031368573728062787,0.45649535287600007,-0.001584253031616002,0.17771601122166206
2006-01-02,371.1969054388804,315.74563493116426,0.005978154266372793,0.6504734702595132,-0.0017866094340420304,0.1978788170168342,0.007692104549053255,1.7474111703302166,-0.0008924543091226833,0.17014195062206652
2006-01-03,385.7563417858463,320.04795333419213,0.004296594482761388,2.9482653359727404,-0.0016963493974565102,0.22059772267583466,0.0011363203333131335,3.24513446745406,-0.0010587069241437873,0.16393275838865054
2006-01-04,342.4237034347088,282.2784418039508,0.004229622008085499,2.622770354649343,-0.0014091836339295935,0.21546850442025253,0.0005987696861216972,1.7450188932545718,-0.001274921715873617,0.162652144478344
2006-01-05,354.7860916991617,310.2467134741391,0.009483068224452815,1.639804056561153,-0.0014556864156950917,0.22053938069708695,0.0004334701544642211,2.1090777750328233,-0.0007061412888835246,0.1626836338537766
2006-01-06,379.90267733546955,303.2395985954429,0.010811146692150723,3.5372782246305032,-0.001882369426548833,0.1943019544519652,0.0032016258769049,4.055378297126439,-0.001190956537046815,0.15169327734716942
2006-01-07,357.71970240536945,296.47304452669994,0.0010364653789742173,1.1451306552402216,-0.0012188396126180247,0.2168715779868881,0.0037842976477270567,5.623108838593668,-0.0014806730650253237,0.1627339369487679
2006-01-08,392.6970918523944,328.25260730959667,0.010956844296423938,2.3028952873370483,-0.001661379920260561,0.21083619416169558,0.0031691612448986792,5.840754750822067,-0.0013344779857417846,0.16616673545866778
2006-01-09,362.11652750057317,301.39603534145755,0.002382897865472054,3.92306696246468,-0.0014011025324045185,0.170567128110299,0.003303292104194516,4.4980808381387805,-0.0009002465756041457,0.1718848051029134
2006-01-10,361.0372369720356,303.6889493355012,0.004654508763216288,5.133117402020123,-0.0018958008032846315,0.19136656370786814,0.005368337146256883,2.7067130835765907,-0.0014366736153692235,0.16064291677980447
2006-01-11,372.2474575111294,325.2951241392612,0.004998608152830148,3.4223677890262896,-0.0017686724211193336,0.18890875893909342,0.011500416085685555,5.732331971955329,-0.0015537470518626106,0.1503624894972018
2006-01-12,390.04603770702647,306.40503741640543,0.005676868948481421,2.5930554307838913,-0.0018022403295665328,0.19651191039100765,0.003165324107529671,2.4183845463421263,-0.0012738462331936937,0.15892605565128934
2006-01-13,446.1682978519251,344.93728752754714,0.004418872732523754,4.665769973350803,-0.0014664534782557763,0.1817759840409171,0.005098101753352746,4.114393425330616,-0.0012584402343193755,0.1643215862066109
2006-01-14,386.7713769183612,312.54773242793163,0.006795435661743153,2.051119218297793,-0.0016416583453442652,0.18527273275452774,0.0011565228909986762,5.092138175461736,-0.001710188419492904,0.15297765312374487
2006-01-15,369.50115875075807,304.4353333713547,0.0006458556739567935,5.865283783205568,-0.0016075371668518585,0.1798593878192724,0.004869022883309886,5.578108751628911,-0.001051191135472715,0.147812370158798
2006-01-16,366.85754158035826,304.66755326880855,0.004093614192441791,4.957837139221387,-0.0014600966164720571,0.18343148964206984,0.00028730668616124867,4.382640646011538,-0.0014227537205889695,0.13013234470015955
2006-01-17,445.8263694453511,368.9072850040401,0.004050958109937208,5.09764180436236,-0.0017329329269337172,0.18078582355458267,0.004867089723905299,6.063292911479041,-0.0015522989813932739,0.13054472817822285
2006-01-18,434.3688447986238,350.6293205254773,0.010555033765496576,6.807816055865936,-0.0019917894882299303,0.175670507221606,0.00382507355589382,5.254048136997938,-0.0013478740094202656,0.14464304937584543
2006-01-19,367.45289904320987,313.67935218993506,0.0018911254163688726,2.4769690693050332,-0.0015882650423911478,0.16161926172090227,0.00023570622335480072,6.997987556665575,-0.001619432467036794,0.11663267691226302
2006-01-20,409.35955162655114,328.6731727303508,0.00253598753644565,5.9639390885503305,-0.0020284140911887316,0.18101727673314866,0.006030478429708063,4.2601944719168445,-0.0013872177655486735,0.14310843827860822
